#oID	descriptor	value	sigma
180	INTENSITY/STRENGTH	32.071	25.323
262	INTENSITY/STRENGTH	35.815	24.667
264	INTENSITY/STRENGTH	54.151	25.501
323	INTENSITY/STRENGTH	66.606	22.325
702	INTENSITY/STRENGTH	20.497	25.598
750	INTENSITY/STRENGTH	18.717	27.012
753	INTENSITY/STRENGTH	37.849	26.06
962	INTENSITY/STRENGTH	22.202	26.276
1031	INTENSITY/STRENGTH	36.631	26.294
3102	INTENSITY/STRENGTH	46.62	21.325
3314	INTENSITY/STRENGTH	55.418	27.798
5862	INTENSITY/STRENGTH	29.594	28.514
5962	INTENSITY/STRENGTH	28.933	27.41
6274	INTENSITY/STRENGTH	27.469	26.179
6322	INTENSITY/STRENGTH	18.588	26.227
6506	INTENSITY/STRENGTH	33.939	26.59
6544	INTENSITY/STRENGTH	68.426	24.473
6561	INTENSITY/STRENGTH	38.661	27.158
6669	INTENSITY/STRENGTH	20.713	21.029
7092	INTENSITY/STRENGTH	64.506	24.147
7137	INTENSITY/STRENGTH	58.413	25.686
7302	INTENSITY/STRENGTH	46.323	26.54
7476	INTENSITY/STRENGTH	63.118	24.51
7559	INTENSITY/STRENGTH	66.176	23.953
7657	INTENSITY/STRENGTH	31.47	27.631
7770	INTENSITY/STRENGTH	63.534	25.721
7793	INTENSITY/STRENGTH	67.404	24.499
7797	INTENSITY/STRENGTH	59.651	26.216
8025	INTENSITY/STRENGTH	35.962	27.059
8049	INTENSITY/STRENGTH	25.209	26.591
8094	INTENSITY/STRENGTH	63.6	26.33
8419	INTENSITY/STRENGTH	59.283	27.072
8438	INTENSITY/STRENGTH	61.834	25.135
8468	INTENSITY/STRENGTH	39.172	26.959
8815	INTENSITY/STRENGTH	57.419	27.413
8878	INTENSITY/STRENGTH	57.052	27.138
9012	INTENSITY/STRENGTH	45.329	25.099
10886	INTENSITY/STRENGTH	42.113	26.833
11567	INTENSITY/STRENGTH	68.614	25.688
12020	INTENSITY/STRENGTH	55.372	27.091
12265	INTENSITY/STRENGTH	46.846	25.491
12377	INTENSITY/STRENGTH	62.804	26.231
15654	INTENSITY/STRENGTH	68.619	25.369
16537	INTENSITY/STRENGTH	59.716	27.297
17898	INTENSITY/STRENGTH	57.361	25.6
18467	INTENSITY/STRENGTH	54.042	24.368
21363	INTENSITY/STRENGTH	61.501	26.738
27440	INTENSITY/STRENGTH	68.169	24.796
31219	INTENSITY/STRENGTH	58.074	25.618
31276	INTENSITY/STRENGTH	60.326	27.123
31283	INTENSITY/STRENGTH	23.428	27.082
60998	INTENSITY/STRENGTH	48.555	26.679
61523	INTENSITY/STRENGTH	59.59	25.684
62089	INTENSITY/STRENGTH	60.686	27.02
62351	INTENSITY/STRENGTH	66.066	27.767
62465	INTENSITY/STRENGTH	55.114	27.532
251531	INTENSITY/STRENGTH	44.02	27.828
440917	INTENSITY/STRENGTH	61.25	27.95
637758	INTENSITY/STRENGTH	50.16	24.871
853433	INTENSITY/STRENGTH	55.918	26.853
1549025	INTENSITY/STRENGTH	52.559	26.219
2733294	INTENSITY/STRENGTH	63.565	26.367
5281167	INTENSITY/STRENGTH	57.122	25.75
5281168	INTENSITY/STRENGTH	60.173	26.543
5318599	INTENSITY/STRENGTH	60.401	26.248
5352837	INTENSITY/STRENGTH	62.293	25.73
5364231	INTENSITY/STRENGTH	55.077	25.496
5371102	INTENSITY/STRENGTH	42.264	27.506
10857465	INTENSITY/STRENGTH	28.632	27.286
180	VALENCE/PLEASANTNESS	41.402	22.431
262	VALENCE/PLEASANTNESS	46.648	24.285
264	VALENCE/PLEASANTNESS	34.497	22.772
323	VALENCE/PLEASANTNESS	57.311	23.803
702	VALENCE/PLEASANTNESS	44.347	23.167
750	VALENCE/PLEASANTNESS	42.041	22.932
753	VALENCE/PLEASANTNESS	40.488	24.888
962	VALENCE/PLEASANTNESS	60.298	23.464
1031	VALENCE/PLEASANTNESS	36.419	23.982
3102	VALENCE/PLEASANTNESS	51.92	25.334
3314	VALENCE/PLEASANTNESS	44.267	22.715
5862	VALENCE/PLEASANTNESS	29.129	22.702
5962	VALENCE/PLEASANTNESS	41.705	24.126
6274	VALENCE/PLEASANTNESS	37.974	23.375
6322	VALENCE/PLEASANTNESS	58.529	24.068
6506	VALENCE/PLEASANTNESS	35.065	22.38
6544	VALENCE/PLEASANTNESS	54.123	24.661
6561	VALENCE/PLEASANTNESS	35.578	22.406
6669	VALENCE/PLEASANTNESS	37.358	19.892
7092	VALENCE/PLEASANTNESS	57.781	24.408
7137	VALENCE/PLEASANTNESS	60.126	25.273
7302	VALENCE/PLEASANTNESS	43.711	22.479
7476	VALENCE/PLEASANTNESS	57.498	25.606
7559	VALENCE/PLEASANTNESS	45.202	25.722
7657	VALENCE/PLEASANTNESS	40.832	24.207
7770	VALENCE/PLEASANTNESS	50.4	24.707
7793	VALENCE/PLEASANTNESS	50.924	24.587
7797	VALENCE/PLEASANTNESS	55.514	24.451
8025	VALENCE/PLEASANTNESS	42.454	23.824
8049	VALENCE/PLEASANTNESS	39.341	22.021
8094	VALENCE/PLEASANTNESS	38.209	24.026
8419	VALENCE/PLEASANTNESS	56.66	22.739
8438	VALENCE/PLEASANTNESS	55.712	24.35
8468	VALENCE/PLEASANTNESS	46.335	23.185
8815	VALENCE/PLEASANTNESS	50.766	24.369
8878	VALENCE/PLEASANTNESS	50.52	23.299
9012	VALENCE/PLEASANTNESS	27.52	22.906
10886	VALENCE/PLEASANTNESS	53.161	23.639
11567	VALENCE/PLEASANTNESS	46.556	25.576
12020	VALENCE/PLEASANTNESS	36.934	24.058
12265	VALENCE/PLEASANTNESS	31.917	23.418
12377	VALENCE/PLEASANTNESS	29.902	23.559
15654	VALENCE/PLEASANTNESS	25.081	23.602
16537	VALENCE/PLEASANTNESS	63.159	26.042
17898	VALENCE/PLEASANTNESS	39.974	23.677
18467	VALENCE/PLEASANTNESS	41.339	24.584
21363	VALENCE/PLEASANTNESS	38.217	24.116
27440	VALENCE/PLEASANTNESS	27.282	24.087
31219	VALENCE/PLEASANTNESS	52.452	26.285
31276	VALENCE/PLEASANTNESS	46.855	24.488
31283	VALENCE/PLEASANTNESS	27.32	22.807
60998	VALENCE/PLEASANTNESS	42.36	24.732
61523	VALENCE/PLEASANTNESS	46.538	26.231
62089	VALENCE/PLEASANTNESS	37.61	23.325
62351	VALENCE/PLEASANTNESS	23.269	22.312
62465	VALENCE/PLEASANTNESS	43.446	23.53
251531	VALENCE/PLEASANTNESS	41.435	23.22
440917	VALENCE/PLEASANTNESS	49.504	25.833
637758	VALENCE/PLEASANTNESS	56.011	26.378
853433	VALENCE/PLEASANTNESS	47.869	25.751
1549025	VALENCE/PLEASANTNESS	49.431	21.916
2733294	VALENCE/PLEASANTNESS	47.901	25.379
5281167	VALENCE/PLEASANTNESS	37.759	26.936
5281168	VALENCE/PLEASANTNESS	33.672	25.829
5318599	VALENCE/PLEASANTNESS	38.295	26.882
5352837	VALENCE/PLEASANTNESS	44.127	27.08
5364231	VALENCE/PLEASANTNESS	52.896	24.61
5371102	VALENCE/PLEASANTNESS	43.224	23.927
10857465	VALENCE/PLEASANTNESS	60.528	25.119
180	BAKERY	3.6606	14.261
262	BAKERY	2.7414	14.125
264	BAKERY	2.8721	8.5647
323	BAKERY	14.252	21.584
702	BAKERY	4.7783	13.643
750	BAKERY	4.1198	15.979
753	BAKERY	3.6135	14.894
962	BAKERY	2.0346	6.8074
1031	BAKERY	2.6735	8.0714
3102	BAKERY	1.7921	4.9122
3314	BAKERY	9.3657	15.941
5862	BAKERY	2.8072	14.956
5962	BAKERY	2.0314	8.3276
6274	BAKERY	2.8636	12.842
6322	BAKERY	2.0547	12.139
6506	BAKERY	2.4054	11.612
6544	BAKERY	2.8637	9.7155
6561	BAKERY	2.3932	8.2771
6669	BAKERY	11.93	23.103
7092	BAKERY	13.271	20.742
7137	BAKERY	13.098	21.165
7302	BAKERY	6.7267	18.026
7476	BAKERY	3.1716	11.349
7559	BAKERY	2.5123	12.272
7657	BAKERY	1.3283	5.4288
7770	BAKERY	2.265	8.4668
7793	BAKERY	2.3364	10.01
7797	BAKERY	2.3688	9.3348
8025	BAKERY	3.1526	9.956
8049	BAKERY	1.8057	4.9977
8094	BAKERY	2.5363	7.0035
8419	BAKERY	12.505	16.692
8438	BAKERY	9.8076	17.231
8468	BAKERY	15.208	15.312
8815	BAKERY	2.5918	10.348
8878	BAKERY	2.7926	10.685
9012	BAKERY	0.18252	5.2732
10886	BAKERY	2.5368	9.457
11567	BAKERY	3.0644	10.432
12020	BAKERY	3.1657	12.212
12265	BAKERY	1.8324	6.1288
12377	BAKERY	2.0354	8.5744
15654	BAKERY	4.0237	16.81
16537	BAKERY	2.2982	8.3838
17898	BAKERY	6.7025	17.627
18467	BAKERY	5.421	16.838
21363	BAKERY	2.944	7.7077
27440	BAKERY	3.1058	14.278
31219	BAKERY	2.3314	8.8972
31276	BAKERY	2.2485	10.467
31283	BAKERY	2.0889	6.0024
60998	BAKERY	2.0891	8.7739
61523	BAKERY	2.4231	8.1019
